Episode,Score,Steps,Success,Collision,Timeout,Exploration_Coverage,Avg_Reward,Learning_Rate
0,-85.99694186896558,153,0,1,0,0,-85.99694186896558,0.0003
1,-9.165884343516451,7,0,1,0,0,-47.581413106241015,0.0003
2,-14.397087881130647,7,0,1,0,0,-36.51997136453756,0.0003
3,-14.449706247033635,7,0,1,0,0,-31.002405085161577,0.0003
4,-14.445095855817666,7,0,1,0,0,-27.690943239292796,0.0003
5,-14.442960658689376,7,0,1,0,0,-25.48294614252556,0.0003
6,-14.404199559237481,7,0,1,0,0,-23.900268059198687,0.0003
7,-14.40365496683356,7,0,1,0,0,-22.713191422653047,0.0003
8,-14.444577658666567,7,0,1,0,0,-21.794456559987882,0.0003
9,-14.44113359907165,7,0,1,0,0,-21.05912426389626,0.0003
10,-133.47226693227535,204,0,1,0,0,-31.27850087011254,0.0003
11,-141.7233735222061,264,0,1,0,0,-40.482240257787005,0.0003
12,-110.10025404610865,186,0,1,0,0,-45.8374720876579,0.0003
13,-91.58731188139926,171,0,1,0,0,-49.10531778721086,0.0003
14,-7.34447840393522,6,0,1,0,0,-46.32126182832581,0.0003
15,-75.91040813475301,155,0,1,0,0,-48.17058347247752,0.0003
16,-9.252454820120905,6,0,1,0,0,-45.88128178704477,0.0003
17,-143.26156940558235,233,0,1,0,0,-51.29129776585242,0.0003
18,-114.92045434269416,222,0,1,0,0,-54.640200743580934,0.0003
19,-79.21775447154042,169,0,1,0,0,-55.86907842997891,0.0003
20,-151.96441013985924,236,0,1,0,0,-60.44504660663988,0.0003
21,-282.6645684005009,501,0,0,1,0,-70.54593396090628,0.0003
22,-56.35144174401111,120,0,1,0,0,-69.9287821253891,0.0003
23,-46.83943307562551,134,0,1,0,0,-68.96672591498229,0.0003
24,-49.95518005409955,97,0,1,0,0,-68.20626408054699,0.0003
25,-67.24790357976767,217,1,0,0,0,-68.16940406128623,0.0003
26,-65.00318012892679,139,0,1,0,0,-68.05213650823588,0.0003
27,-55.83997200070391,147,0,1,0,0,-67.61598777582402,0.0003
28,-51.450631929075925,181,1,0,0,0,-67.05856171214306,0.0003
29,-16.057255017538786,6,0,1,0,0,-65.35851815565624,0.0003
30,-74.23929995056824,140,0,1,0,0,-65.64499498775018,0.0003
31,-77.54406153848308,156,0,1,0,0,-66.01684081746059,0.0003
32,-4.783574457719099,7,0,1,0,0,-64.16128729140782,0.0003
33,-77.43953344484126,139,0,1,0,0,-64.5518239429794,0.0003
34,-78.37529476236487,170,0,1,0,0,-64.94678025210469,0.0003
35,-161.32416935564538,294,0,1,0,0,-67.62392994942527,0.0003
36,-73.41411221746817,149,0,1,0,0,-67.78042136207509,0.0003
37,-88.66262465085636,178,0,1,0,0,-68.32995302756933,0.0003
38,-175.33731205480348,501,0,0,1,0,-71.07373146416508,0.0003
39,-6.359088229683878,6,0,1,0,0,-69.45586538330303,0.0003
40,-52.14538311037215,111,0,1,0,0,-69.0336584985974,0.0003
41,-63.09337086033349,138,0,1,0,0,-68.89222307863874,0.0003
42,-32.89115733492251,100,1,0,0,0,-68.05498899157557,0.0003
43,-124.71798457278618,209,0,1,0,0,-69.34278434569399,0.0003
44,-128.44488919622066,223,0,1,0,0,-70.65616445348347,0.0003
45,-86.01095592410735,223,0,1,0,0,-70.98996426806225,0.0003
46,-8.087887027742127,7,0,1,0,0,-69.65162219911926,0.0003
47,-14.421639537493443,7,0,1,0,0,-68.5009975603354,0.0003
48,-53.14600900454789,125,1,0,0,0,-68.18763044695199,0.0003
49,-15.468492882583618,7,0,1,0,0,-67.13324769566462,0.0003
50,-65.41236208252569,130,0,1,0,0,-67.09950484050503,0.0003
51,-58.26316672146938,116,0,1,0,0,-66.92957526129281,0.0003
52,-55.86196353296647,132,1,0,0,0,-66.72075239849421,0.0003
53,-88.90614604139961,219,0,1,0,0,-67.13159302151097,0.0003
54,-55.20464064050984,120,0,1,0,0,-66.9147393418564,0.0003
55,-77.53776477084615,185,1,0,0,0,-67.10443622451693,0.0003
56,-40.0877547555955,107,0,1,0,0,-66.63045935664111,0.0003
57,-156.82079132244,287,0,1,0,0,-68.18546508018937,0.0003
58,-126.82349324325793,251,0,1,0,0,-69.17932996430918,0.0003
59,-76.1319498340251,207,0,1,0,0,-69.29520696213778,0.0003
60,-109.73896879799776,218,1,0,0,0,-69.95821945125023,0.0003
61,-14.061659477866279,7,0,1,0,0,-69.0566620323247,0.0003
62,-14.392047714412247,7,0,1,0,0,-68.18896974156418,0.0003
63,-85.8816465655795,189,0,1,0,0,-68.46541781693941,0.0003
64,-71.72354843124472,176,0,1,0,0,-68.51554290331335,0.0003
65,-5.610895115325547,7,0,1,0,0,-67.56244217925291,0.0003
66,-14.439714527767533,7,0,1,0,0,-66.76956564714119,0.0003
67,-83.41943300925261,169,1,0,0,0,-67.01441663776048,0.0003
68,-13.357516823190569,6,0,1,0,0,-66.23678040856382,0.0003
69,-89.07539596041258,162,0,1,0,0,-66.56304634501879,0.0003
70,-41.474872096349614,118,0,1,0,0,-66.20969177813613,0.0003
71,-11.650580282856469,7,0,1,0,0,-65.4519263407017,0.0003
72,-70.17687560865589,127,0,1,0,0,-65.51665167313942,0.0003
73,-71.12253563648122,159,0,1,0,0,-65.59240686183324,0.0003
74,-81.94262046952451,154,0,1,0,0,-65.81040970993578,0.0003
75,-176.50518730334258,392,0,1,0,0,-67.26691994142799,0.0003
76,-3.501284135651547,7,0,1,0,0,-66.43879480109322,0.0003
77,-85.16214327063979,160,0,1,0,0,-66.67883773018998,0.0003
78,-90.12227357684044,180,0,1,0,0,-66.97559008267923,0.0003
79,-10.638320573652091,7,0,1,0,0,-66.27137421381637,0.0003
80,-65.98945401679048,153,1,0,0,0,-66.2678937175568,0.0003
81,-77.08311808773502,144,0,1,0,0,-66.39978669768092,0.0003
82,-5.476113731822451,6,0,1,0,0,-65.66576654146576,0.0003
83,-80.33116755659887,152,0,1,0,0,-65.84035464878878,0.0003
84,-57.04001639974867,141,0,1,0,0,-65.7368212576236,0.0003
85,-48.720288277615424,123,0,1,0,0,-65.53895459506536,0.0003
86,-127.85732940483241,225,0,1,0,0,-66.25525775379832,0.0003
87,-100.06114213000279,179,0,1,0,0,-66.63941553080063,0.0003
88,-45.55940456054451,170,1,0,0,0,-66.40256147495506,0.0003
89,-71.78539622099268,138,0,1,0,0,-66.46237074991105,0.0003
90,-7.614967687352331,7,0,1,0,0,-65.81569599098182,0.0003
91,-66.34999949560384,147,0,1,0,0,-65.82150363777119,0.0003
92,-115.13697553203187,196,0,1,0,0,-66.35177752910732,0.0003
93,-57.97051059057393,135,0,1,0,0,-66.26261511486761,0.0003
94,-56.26380031338444,154,0,1,0,0,-66.15736443274673,0.0003
95,-101.54310859481218,187,0,1,0,0,-66.52596593443491,0.0003
96,-95.94098910716265,193,0,1,0,0,-66.82921359600942,0.0003
97,-52.59362825018642,149,0,1,0,0,-66.68395252105203,0.0003
98,-4.430502953521427,6,0,1,0,0,-66.05512979814769,0.0003
99,-51.99141552704203,141,0,1,0,0,-65.91449265543663,0.0003
